pathway	AM01	AM02	AM03	AM04	AM05	AM06	AM07	AM08	AM09
GALACTARDEG-PWY	6997.4518529135785	4277.981896285123	4849.302358927816	3834.267921920032	6414.24289991945	9070.696335228795	6921.614961221772	9039.41821444237	5058.525625491982
GALACTITOLCAT-PWY	173.92813238217047	0.0	163.20372367934505	0.0	128.76950503691273	7.989415123311061	142.48749845017562	0.0	130.5193684811982
GALLATE-DEGRADATION-I-PWY	596.3358230519665	793.532765741525	809.7395961115706	494.1095833764085	696.5683905624167	1936.0122457031496	628.3969844934819	853.6287318435263	619.7979430764174
GALLATE-DEGRADATION-II-PWY	110.10147686525112	95.59217319060203	955.808009594177	144.21574177369243	1091.3436747731905	1245.1336088357448	704.5867627148556	1677.5421350641632	619.7979430764174
GLCMANNANAUT-PWY	1945.1462615658345	2095.4090897542483	1562.7780564917489	1455.2915158326148	2411.9140037532875	2796.4175483279823	1929.8957068063714	3776.276311897148	1175.7619951740094
GLUCARDEG-PWY	6997.4518529135785	4277.981896285123	4849.302358927816	3834.267921920032	6414.24289991945	9070.696335228795	6921.614961221772	9039.41821444237	5058.525625491982
GLUCARGALACTSUPER-PWY	6997.4518529135785	4277.981896285123	4849.302358927816	3834.267921920032	6414.24289991945	9070.696335228795	6921.614961221772	9039.41821444237	5058.525625491982
GLUCONEO-PWY	18149.223301459722	11607.812166995835	12826.34855932202	10681.030833209315	17743.41819170958	19291.665169633	17957.95113134703	24573.175013980264	12427.418659103727
GLUCOSE1PMETAB-PWY	18071.67	13104.279999999999	12744.73	12245.0	19259.08	20280.01	17395.0	23723.66	12395.35
GLUDEG-I-PWY	338.0546681041343	440.7290191992656	769.293169238996	1052.4398786867496	480.0443552570811	870.5589036220756	514.4785894644552	1444.2697939753866	258.3806422436033
GLUTORN-PWY	21714.655412765645	13748.497959853596	15199.579205017912	12397.390078088147	21122.668539857743	23795.33916853589	21253.098467992586	28198.222981882645	14975.766065086771
GLYCOCAT-PWY	4277.917013839504	2474.566745488127	3943.6565146886455	3297.392302865272	3463.6855113691618	6902.524264126288	5674.46408929684	3368.189548797286	3614.16637984173
GLYCOGENSYNTH-PWY	18825.07233202919	13546.31180140575	12944.099206671759	11945.305169793313	19576.961884185093	21455.709714400124	17625.266621818097	24760.3192174785	12899.840257571588
GLYCOL-GLYOXDEG-PWY	428.17104555268736	339.5678634573216	459.9450153007429	280.3716512771909	339.5572350068233	473.7597049472831	340.21150216661675	228.0323400836065	135.4996312316243
GLYCOLYSIS	21581.843874286165	12978.028533771052	14157.193010927942	12243.519858426243	20099.928663802693	22567.847992008952	19977.291236734018	28070.97184777585	14119.53289523895
GLYCOLYSIS-E-D	5540.853276472589	971.4158343710887	4160.902903273533	4754.62724070315	5442.387136138519	4780.033981590065	7673.086630552927	7734.341608960542	4344.542332059264
GLYOXYLATE-BYPASS	5629.929541091667	4262.445644261987	5477.2508076249005	4114.3648715744785	4724.824585329282	6102.628185518527	5730.227638405686	6486.358587800607	4711.270834763221
GOLPDLCAT-PWY	422.70551232393274	234.87115702893823	290.5741822852283	0.0	367.37721787816156	127.83347453826376	175.06868250539958	596.3631642035025	129.32400277312527
HCAMHPDEG-PWY	32.33898944735713	5.72862753332029	0.0	161.3721796341996	33.205256894784974	206.97187023286256	0.0	0.0	0.0
HEME-BIOSYNTHESIS-II	11701.428700442517	6869.6189374058995	8370.59451338474	6392.43618970921	11776.851224576632	12681.026251434949	10835.515703202693	16343.223093662027	7568.35622083325
HEME-BIOSYNTHESIS-II-1	8100.03321098629	5213.279943196042	6382.943455222168	5940.256875267944	8012.6345413261115	8615.023137047057	9274.977948994312	11405.026068669891	5626.646587356096
HEMESYN2-PWY	3413.656101979852	1489.6688825760368	1269.7303686863163	912.0159759313093	3246.0679012481273	2294.5142490371927	2300.5593252068	4818.860907726298	2153.1112747581174
HEXITOLDEGSUPER-PWY	560.9775864434748	0.0	508.3936583686175	0.0	415.90931583036564	27.869663570547868	463.8725685855316	0.0	423.5340543600031
HISDEG-PWY	10287.010731964903	8205.725035286188	8251.43556770707	6417.207632426906	10346.824123470293	9467.054599852749	10011.818039203667	12277.46656426679	7154.860510324752
HISTSYN-PWY	16312.17787411314	10027.126464174344	11775.64630864535	10005.094171731449	15010.406972140223	17543.87766774879	15880.504750126665	17968.842170489545	10751.484451978173
HOMOSER-METSYN-PWY	1370.9093718985534	982.2951699539879	1431.9667428462014	1500.567508146998	1979.0404751360118	1454.8400172314105	2322.16517680863	1678.533388280338	1535.6350155537707
HSERMETANA-PWY	15059.498563682851	9964.887559674617	10398.556610045109	9545.792353525307	13280.777109391978	16582.6280537338	13971.975547274566	16360.25020796599	9274.961043914534
ILEUSYN-PWY	24184.958505329883	15505.595208300161	17542.924279884544	14537.702073558426	22402.205685490553	27533.336410376	23921.4356421834	28743.107731868422	16594.014972113615
KDO-NAGLIPASYN-PWY	573.0705981977217	31.918485949324626	0.0	1061.355230395678	1388.8578556841303	1531.2556384984994	580.4256746670212	2045.2846550731206	1842.8149915538615
KETOGLUCONMET-PWY	729.9450747732335	662.0233443228022	645.9014095422478	740.0650962417061	501.49069940476187	1023.4794741432797	816.3300302404215	662.0305071025567	72.01655172413794
LACTOSECAT-PWY	986.8182267243599	261.20366107716376	868.9944498423365	0.0	412.23445894642225	384.9483619658949	287.34783569264965	530.8686713781548	217.29131261750362
LIPASYN-PWY	4974.5	3755.5	3476.0	2244.0	5279.66	2869.36	4122.5	4102.5	1611.0
M-CRESOL-DEGRADATION-PWY	0.0	0.0	204.5327538031667	0.0	0.0	0.0	0.0	0.0	90.23598613364803
MET-SAM-PWY	2550.6190943271454	1827.7252633925734	2593.139740693932	2640.117768964764	3558.4447927553883	2728.3289619994325	4103.1510734275535	3135.470209915532	2711.266812801651
METH-ACETATE-PWY	3033.1173305392526	571.9548541118247	679.8614838763716	637.1137216086519	2268.0657070407333	1350.0577391706634	1659.2069228549144	2944.3111927561463	1107.7825666082051
METHANOGENESIS-PWY	2287.2281866871886	302.6479340101625	601.0191795750496	525.1543881847335	1589.230853745999	1285.0903344572025	1363.3797530797976	2356.574268744133	916.4867138641655
METHGLYUT-PWY	1155.681688301568	1008.5125705797116	1056.4534625433644	569.8478808430473	1593.355391621368	1803.6152909463624	1255.2853172923246	2020.7912999932423	894.5118262194495
METHYLGALLATE-DEGRADATION-PWY	28.05985103191712	9.935605954417072	0.0	165.2265754846382	40.06880272679549	568.3852379415181	292.6180298896419	7.4675501068695125	355.7298347874457
METSYN-PWY	2300.7617650639777	1642.6106948127401	2357.474335827203	2429.3515407775585	3253.5422182381335	2440.441196804936	3772.826515551763	2818.1039125618768	2502.129893136796
NAD-BIOSYNTHESIS-II	216.65637802918235	9.767092437643974	1.666481939560368	0.0	30.480336614366514	38.03185802230628	0.0	0.0	0.0
NADSYN-PWY	5765.3676672275315	4940.261272463846	3443.0700786701996	3617.558114322789	6062.635955417764	5965.830538761556	5293.526650156467	7790.636455377985	4006.6941076268877
NAGLIPASYN-PWY	16922.265947592132	12112.996690435928	12383.906128139088	10571.996512258138	16879.839316771944	18913.642248172022	16985.93349857694	22687.592624431647	12076.161132518204
NONMEVIPP-PWY	18623.826610913988	11933.930992973246	12769.826655537654	10771.929520598023	16957.522430520043	18973.168069479303	17347.89969236214	22722.482549034346	11837.4597346165
NONOXIPENT-PWY	31116.65413362941	21679.96816460212	21403.042410240087	18090.337843603873	29727.752848639386	31141.669409887134	28702.811810179635	40563.10025613313	19914.311956460206
OANTIGEN-PWY	18197.991307186316	11916.052886416042	13399.976485777244	11300.408109021428	17862.37957983242	19433.86078682395	17749.743004563603	24048.194376921787	12365.613743992846
ORNARGDEG-PWY	0.0	26.64120070041962	0.0	0.0	0.0	3.965903053589717	0.0	0.0	0.0
ORNDEG-PWY	766.169207400014	211.3256786534801	671.4672733466526	387.8768446184305	302.1495606287357	308.7775721272769	747.4678691469935	567.7892829665626	326.53956684052974
P101-PWY	787.9318458875218	148.6837723882746	14.926852028586298	470.07391127661134	42.1414506812011	390.12766523856675	178.8444617322886	170.54628309263987	109.73218974122477
P105-PWY	1951.2993751107251	926.0463093223544	1403.48751227617	2091.7769009072827	1500.006000095012	1591.0842464878015	1248.3458889875642	2295.11478145273	954.1259040290895
P108-PWY	1608.2269704734815	1094.8281118015286	1628.6023422343294	109.6061852734331	2220.761366773383	1335.0604172459157	1250.3117937080995	1894.2483193057415	572.3175640743422
P125-PWY	2570.609048131663	1348.7654332193881	2485.4602961670166	1059.7009895653996	1751.8691480269144	3239.4888396499045	2860.170903154315	3335.0140460068374	1925.6864329200266
P163-PWY	466.35326698165835	315.8278254317097	0.0	9.685711359956752	555.9734684770476	318.6974460733357	595.1600548303512	1086.8709288685939	400.1257147101381
P164-PWY	7996.095789839662	5151.363454781582	5334.089153484994	4634.420268071097	7192.336178407024	8243.714908959722	7898.519957377135	8823.393621948835	4937.203844752966
P184-PWY	38.38636957572173	13.522839252237256	0.0	189.07669697925567	54.98364813056053	688.8038294314706	371.71285077479325	10.43160021198052	442.2389177102029
P185-PWY	1827.655544822035	1023.9370606754431	1308.5261149515445	994.3977788150322	1031.6941776913263	323.3007000280241	660.0629015865833	1393.1649859699796	189.67953262348507
P221-PWY	3523.8153879014294	1431.0872269373974	720.0922696174064	1620.8442186723084	2548.67576733548	2396.2556613975025	2054.275007658546	3303.478914659337	1715.926851108683
P23-PWY	19913.626687463107	11964.097319266795	13011.69600626375	11894.42159659503	18592.2041944442	19751.17901334146	18683.78945232069	24100.994349818986	12332.36444352006
P241-PWY	953.0644327488064	281.92819078845116	177.98967088879644	219.92865643203038	743.4922445411269	462.3006195851064	452.2763436862205	930.0648628109473	370.338303735353
P261-PWY	1073.1197164352384	1614.4735467998332	1228.0701921002092	1295.761728760308	885.4056236760705	1966.8775481949606	1417.6502884738475	3.9985008270514237	169.67826137295614
P341-PWY	193.6292866006746	0.0	0.0	0.0	0.0	0.0	0.0	227.11955741419845	14.77181028870149
P381-PWY	1406.058754369016	786.8122691439376	1143.7897758726951	188.43026143545777	1258.2795548705164	1004.100319243531	1286.8014430017417	1671.5188900794312	559.2359695165917
P4-PWY	4763.706181268382	3358.70189074081	4610.20388269589	4550.215803656674	6285.46381436068	5077.275301594035	7121.752298619323	5870.641949956929	4769.8813046926
P42-PWY	26446.67164392997	12883.67704859009	14144.120699720288	12061.236416841515	24318.75423637445	25024.99277887291	21187.923346131978	33296.945156419315	16025.909723728071
P441-PWY	1666.8593714940816	1811.6087123298294	2626.2191365987946	1141.5347942277845	2134.841986411779	3581.4654750160225	2605.6262885508077	3467.6917566469506	1249.3852640631217
P461-PWY	1346.7595939240546	595.1645746111451	873.030963437564	1471.7713511063264	977.3437936346254	1662.9775158629332	1254.8732312392633	2225.884601342422	1214.6462591008506
P562-PWY	2427.0307715851363	917.0066022092808	1123.400649556631	1657.3412515269324	2815.6930458578113	2151.7543352559933	2125.863244911542	3879.8914421130044	1271.3833039865508
PANTO-PWY	18697.80794517706	12062.551468279373	12525.669263236468	10660.535793532952	17388.95088370858	18451.799925099982	17221.720869341312	23409.507339277963	11822.339699375509
PANTOSYN-PWY	17087.138353509636	11698.10061161457	12220.680724521479	10042.395952811272	15755.631375738365	19039.399795262594	15932.974845237492	21280.154377836287	10992.07823732912
PCPDEG-PWY	609.2305508619033	505.9629261942942	746.6181239494078	419.13670313492537	515.4845751819927	1194.6583159261718	698.9975186900087	3.9922386542797508	101.2733749012934
PENTOSE-P-PWY	24693.297984614106	16860.13500969074	17771.800607344147	14601.36181234592	23266.685209185533	25115.823056488865	23601.18762364003	30809.35438803112	15226.445327145682
PEPTIDOGLYCANSYN-PWY	18872.051301019572	12599.51169655047	13377.374426207476	11475.97446605458	18143.334943148024	19509.31954610534	18687.212858825627	24942.47303225531	12785.499962941572
PHOSLIPSYN-PWY	25927.5153905198	16572.4244742552	18072.989069284773	14944.1451639072	24841.39386339474	27559.58063010514	25260.95218467819	33581.10847535098	17477.66716224891
POLYAMINSYN3-PWY	7446.417112231218	2994.244748577181	4849.207059700049	3016.033537738757	6804.792020576804	7384.610448151997	6897.754915092729	8406.704080052961	5173.496198948185
POLYAMSYN-PWY	7354.991566874197	2925.210120756107	4760.298851089838	2975.0235129328694	6733.703750069817	7244.159140092677	6814.828484632589	8301.122498221948	5100.946441884898
POLYISOPRENSYN-PWY	24509.459028077432	15908.104455175546	17111.224226198923	14698.725186748261	22715.389464702654	25787.723479463526	23486.908134463727	31970.221544959702	16233.318907250845
PPGPPMET-PWY	11647.060598943373	8097.977682214813	8574.851976577256	8158.056349297909	11309.936745499153	12564.020470326492	13254.795968412978	16102.402180527983	8304.927888587374
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	5148.4005316112825	3860.593461819594	4602.3254287876425	3799.0568657809376	4541.6284976751795	7331.750571698779	5925.062634327689	6396.954801100293	3236.515833909356
PWY-1042	26213.01588417359	16562.398069407078	17686.803738021754	15479.299498634216	24789.99706128103	27360.08027085059	24322.038370649847	34024.51159142525	17141.71563262011
PWY-1269	16232.593417326383	11228.828671937548	11797.53975888102	10060.604091626394	15557.341103570176	17908.8070580159	16068.12692310501	20666.757910218097	11359.587277112489
PWY-1361	1344.3053082242284	2136.24876198958	2592.3374433213025	1450.4007275082386	2710.0037420456897	4890.439167885173	3344.0004416352176	2356.888217711243	2824.543776187147
PWY-1422	216.19139245647045	111.47273214417196	58.7599980759215	251.23941345681226	253.58205314037647	138.35867980954217	108.18578322953168	276.58592174662346	24.855886659332906
PWY-1501	870.4426590262534	889.2424704855865	795.645662173701	365.2314716520066	313.9839897902813	1600.4250284986158	663.752942931944	919.4796358741849	688.5365332130735
PWY-1541	310.3094677313632	356.5071633635059	0.0	5.967119752408918	528.33372906369	255.97337145023036	353.610601046616	283.38989228134	0.0
PWY-1622	7352.813314846181	3864.3274475805406	5256.92861747662	4580.313937333004	5584.400273989986	7332.239523622529	7466.170947760978	6968.448015431816	4572.905854801421
